matricula_ou_siape,data_emprestimo,tipo_vinculo_usuario,curso
20181028903,2020,ALUNO DE PÓS-GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20190153535,2020,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20180051611,2020,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20181032601,2020,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
20190120623,2020,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20181027370,2020,ALUNO DE PÓS-GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180133252,2020,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20160141785,2020,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20191020865,2020,ALUNO DE PÓS-GRADUAÇÃO,BIOLOGIA PARASITÁRIA
2015077202,2020,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20181002611,2020,ALUNO DE PÓS-GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20181018246,2020,ALUNO DE PÓS-GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20190018209,2020,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20181021223,2020,ALUNO DE PÓS-GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20180123185,2020,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20191006122,2020,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20181018738,2020,ALUNO DE PÓS-GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20180008844,2020,ALUNO DE GRADUAÇÃO,GESTÃO PÚBLICA
20182045936,2020,ALUNO DE PÓS-GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20181024753,2020,ALUNO DE PÓS-GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20180077019,2020,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
2015056703,2020,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180147991,2020,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
2016024034,2020,ALUNO DE GRADUAÇÃO,GESTÃO PÚBLICA
20190093301,2020,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20190013481,2020,ALUNO DE GRADUAÇÃO,DIREITO
2013082811,2020,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20180131660,2020,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
2016027878,2020,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20170015470,2020,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20190090640,2020,ALUNO DE GRADUAÇÃO,DIREITO
20170164836,2020,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20181026598,2020,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20190012742,2020,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20180053115,2020,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20190063652,2020,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180090754,2020,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20180138722,2020,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20181024833,2020,ALUNO DE PÓS-GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20150129508,2020,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20171031351,2020,ALUNO DE PÓS-GRADUAÇÃO,EDUCAÇÃO
20190048398,2020,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20180140874,2020,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20180094379,2020,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
2014094254,2020,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20170084350,2020,ALUNO DE GRADUAÇÃO,GESTÃO PÚBLICA
20190013721,2020,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
2010049586,2020,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
2013081387,2020,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20191022242,2020,ALUNO DE PÓS-GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
2016015474,2020,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20182018017,2020,ALUNO DE PÓS-GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20150128028,2020,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20170007834,2020,ALUNO DE GRADUAÇÃO,DIREITO
20170112929,2020,ALUNO DE GRADUAÇÃO,DIREITO
2016081264,2020,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20170153805,2020,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20191001850,2020,ALUNO DE PÓS-GRADUAÇÃO,DIREITO
20180040879,2020,ALUNO DE GRADUAÇÃO,GESTÃO PÚBLICA
