id_emprestimo,codigo_barras,data_renovacao,data_emprestimo,data_devolucao,matricula_ou_siape,tipo_vinculo_usuario
2962509,2007005628,,2020/01/02 08:17:30.290000000,2020/01/07 11:14:07.000000000,20181028903.0,ALUNO DE PÓS-GRADUAÇÃO
2962510,L202802,,2020/01/02 08:17:30.391000000,2020/01/07 11:14:17.000000000,20181028903.0,ALUNO DE PÓS-GRADUAÇÃO
2962511,2012008328,,2020/01/02 08:17:30.436000000,2020/01/07 11:24:46.000000000,20181028903.0,ALUNO DE PÓS-GRADUAÇÃO
2962512,2012055016,2020/01/17 09:56:18.380000000,2020/01/02 08:36:40.163000000,2020/01/31 14:53:52.000000000,20190153535.0,ALUNO DE GRADUAÇÃO
2962513,L197391,2020/01/17 23:50:18.862000000,2020/01/02 09:36:03.877000000,2020/01/24 08:18:19.000000000,20180051611.0,ALUNO DE GRADUAÇÃO
2962514,2016030245,2020/01/17 23:50:18.835000000,2020/01/02 09:36:03.938000000,2020/01/24 08:18:13.000000000,20180051611.0,ALUNO DE GRADUAÇÃO
2962515,L153495,2020/01/15 08:47:19.222000000,2020/01/02 09:51:24.086000000,2020/01/28 12:00:15.000000000,1756546.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962516,2008053151,2020/01/15 08:47:19.200000000,2020/01/02 09:51:24.121000000,2020/01/28 12:00:22.000000000,1756546.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962517,2016035640,2020/01/15 08:47:19.174000000,2020/01/02 09:51:24.156000000,2020/01/29 12:18:08.000000000,1756546.0,SERVIDOR TÉCNICO-ADMINISTRATIVO
2962518,2011038368,2020/02/01 09:32:51.636000000,2020/01/02 09:54:30.086000000,2020/07/27 11:39:16.000000000,198623970.0,DOCENTE
2962519,2012056476,2020/02/01 09:32:51.613000000,2020/01/02 09:54:30.118000000,2020/07/27 11:38:51.000000000,198623970.0,DOCENTE
2962520,2014012235,2020/02/01 09:32:51.591000000,2020/01/02 09:54:30.150000000,2021/02/10 09:51:12.000000000,198623970.0,DOCENTE
2962521,2017040231,2020/02/01 09:32:51.569000000,2020/01/02 09:54:30.184000000,2020/07/27 11:38:04.000000000,198623970.0,DOCENTE
2962522,2017038647,2020/02/01 09:32:51.543000000,2020/01/02 09:54:30.220000000,2020/07/27 11:38:28.000000000,198623970.0,DOCENTE
2962523,L187901,,2020/01/02 10:08:33.890000000,2020/02/03 17:11:45.000000000,20181032601.0,ALUNO DE PÓS-GRADUAÇÃO
2962524,2016026960,,2020/01/02 10:08:33.930000000,2020/02/03 17:11:34.000000000,20181032601.0,ALUNO DE PÓS-GRADUAÇÃO
2962525,2018021960,2020/01/16 15:58:35.050000000,2020/01/02 10:11:36.726000000,2020/01/22 09:53:32.000000000,20190120623.0,ALUNO DE GRADUAÇÃO
2962526,L156995,2020/02/01 07:51:12.876000000,2020/01/02 10:24:17.487000000,2020/03/05 08:18:35.000000000,20181027370.0,ALUNO DE PÓS-GRADUAÇÃO
2962527,2007005644,,2020/01/02 10:24:17.525000000,2020/01/13 18:03:48.000000000,20181027370.0,ALUNO DE PÓS-GRADUAÇÃO
2962528,2011028460,2020/02/01 07:51:12.857000000,2020/01/02 10:24:17.558000000,2020/03/05 08:18:39.000000000,20181027370.0,ALUNO DE PÓS-GRADUAÇÃO
2962529,2016041641,2020/02/01 07:51:12.835000000,2020/01/02 10:24:17.593000000,2020/02/10 12:06:43.000000000,20181027370.0,ALUNO DE PÓS-GRADUAÇÃO
2962530,2012019053,,2020/01/02 10:26:03.984000000,2020/01/07 10:51:32.000000000,20180133252.0,ALUNO DE GRADUAÇÃO
2962531,2013109592,2020/01/15 17:06:52.295000000,2020/01/02 10:26:04.026000000,2020/01/31 10:57:37.000000000,20180133252.0,ALUNO DE GRADUAÇÃO
2962532,2014074834,2020/01/15 17:06:52.273000000,2020/01/02 10:26:04.065000000,2020/01/31 10:57:32.000000000,20180133252.0,ALUNO DE GRADUAÇÃO
2962533,2013014847,,2020/01/02 10:44:33.755000000,2020/02/03 07:37:33.000000000,3766151.0,DOCENTE
2962534,2009040648,,2020/01/02 10:54:20.278000000,2020/01/22 10:19:00.000000000,20160141785.0,ALUNO DE GRADUAÇÃO
2962535,2012050391,,2020/01/02 10:54:20.313000000,2020/01/22 10:18:53.000000000,20160141785.0,ALUNO DE GRADUAÇÃO
2962536,2012041345,,2020/01/02 11:15:13.244000000,2020/01/07 10:35:00.000000000,20191020865.0,ALUNO DE PÓS-GRADUAÇÃO
2962537,2012032180,2020/02/03 10:33:00.833000000,2020/01/02 11:15:13.283000000,2020/02/10 09:03:36.000000000,20191020865.0,ALUNO DE PÓS-GRADUAÇÃO
